Inside Features: 
VP^g->(@VP^g->(@VP^g->VBD,NP^g*),PP^g),PP^g : 2
VP^g->(@VP^g->(VP^g->VBZ,NP^g*),CC),VP^g : 2
NP^g->(@NP^g->(@NP^g->DT,VBG*),JJ),NN : 1
SBAR^g->IN,(S^g->NP^g,(VP^g->VBP,VP^g|VBN*)) : 2
S^g|VP^g->VBD,(PP^g->IN,(NP^g->@NP^g*,NNPS)) : 1
@S^g->(S^g->NP^g|PRP,(VP^g->VBD,ADJP^g*)),, : 1
SBAR^g|S^g->@S^g,(VP^g->MD,(VP^g->@VP^g*,PP^g)) : 1
VP^g->@VP^g,(SBAR^g->(@SBAR^g->RB*,IN),S^g) : 1
PP^g->TO,(NP^g->@NP^g,(NP^g->PRP$*,NNS)) : 1
PP^g->(@PP^g->(@PP^g->IN*,CC),IN),NP^g : 1
@NP^g->(NP^g->(@NP^g->DT,NN*),VBZ),ADJP^g : 2
SBAR^g->WHNP^g|WP,(S^g|VP^g->@VP^g,(PP^g->IN,NP^g*)) : 1
@S^g->@S^g,(VP^g->(@VP^g->VP^g*,CC),VP^g) : 1
NP^g->(@NP^g->(@NP^g->NN*,NNP),NNP),NNP : 1
NP^g->(NP^g->NP^g|NN,(PP^g->IN,NP^g*)),SBAR^g|S^g|VP^g : 1
PP^g->IN,(NP^g->@NP^g,(NP^g->@NP^g,PP^g*)) : 1
@S^g->(@S^g->(@S^g->@S^g,,*),NP^g),VP^g : 2
VP^g->TO,(VP^g->@VP^g,(PP^g->IN,NP^g*)) : 4
NP^g->NP^g|NN,(SBAR^g->WHNP^g|WDT,(S^g|VP^g->VBD*,S^g)) : 1
@S^g->NP^g,(VP^g->VBD,(VP^g->VBN,SBAR^g|S^g|VP^g*)) : 1
@S^g->(NP^g->(@NP^g->DT,VBN*),NNS),ADVP^g|RB : 2
S^g|VP^g->(@VP^g->(VP^g->@VP^g,PP^g*),CC),VP^g : 1
@S^g->(@S^g->(@S^g->PP^g,,*),NP^g|CD),VP^g : 1
@VP^g->VBZ,(NP^g->(@NP^g->NNP*,NN),NNS) : 1
@NP^g->(NP^g->(@NP^g->NNP*,NNP),NNP),, : 6
VP^g->VBG,(PP^g->IN,(NP^g->NP^g,PP^g*)) : 1
@S^g->NP^g|NNP,(VP^g->@VP^g,(PP^g->@PP^g*,NP^g)) : 1
SBAR^g->@SBAR^g,(SBAR^g->WHADVP^g|WRB,(S^g->NP^g*,VP^g)) : 1
S^g|VP^g->@VP^g,(PP^g->IN,(S^g|VP^g->VBG*,NP^g)) : 1
S^g->(@S^g->SBAR^g,(VP^g->VBZ*,NP^g)),. : 1
PP^g->IN,(NP^g->(@NP^g->NP^g*,NN),S^g|VP^g) : 2
@VP^g->@VP^g,(NP^g->NP^g,(SBAR^g->WHNP^g|WDT,S^g|VP^g*)) : 1
PP^g->PP^g,(PP^g->IN,(NP^g->@NP^g,NN*)) : 1
SBAR^g|S^g->NP^g,(VP^g->MD,(VP^g->VB,NP^g*)) : 1
@S^g->(NP^g->(NP^g->DT,NN*),PP^g),ADVP^g|RB : 1
NP^g->(@NP^g->(@NP^g->DT,NN*),NN),NN : 3
SBAR^g->IN,(S^g->@S^g,(VP^g->@VP^g*,PP^g)) : 1
@S^g->@S^g,(S^g->PP^g,(PP^g->IN,NP^g*)) : 1
PP^g->TO,(NP^g->(@NP^g->NP^g,,*),SBAR^g) : 1
@S^g->NP^g|NNP,(VP^g->(@VP^g->@VP^g*,,),S^g|VP^g) : 1
S^g->NP^g,(VP^g->VBZ,(VP^g->VBN*,SBAR^g)) : 1
PP^g->IN,(NP^g->NP^g,(PP^g->TO*,NP^g)) : 2
VP^g->VBN,(NP^g->(@NP^g->NP^g,CC*),NP^g) : 1
NP^g->(NP^g->(@NP^g->DT*,JJ),NN),VP^g : 2
@S^g->NP^g,(VP^g->VBD,(SBAR^g->IN,S^g*)) : 1
NP^g->(@NP^g->(@NP^g->``,JJ*),''),NN : 1
NP^g->(@NP^g->NP^g,(PP^g->IN,NP^g*)),PP^g : 5
@NP^g->(NP^g->(@NP^g->@NP^g,CC*),NP^g|NN),, : 1
VP^g->VBD,(SBAR^g|S^g->NP^g,(VP^g->VBD,VP^g*)) : 1
NP^g->NP^g|NNS,(PP^g->IN,(NP^g->NP^g*,PP^g)) : 1
S^g->(@S^g->NP^g,(VP^g->VBD*,S^g|VP^g)),. : 1
@S^g->(@S^g->(SBAR^g->IN*,S^g),,),NP^g|PRP : 1
@UCP^g->(PP^g->IN,(NP^g->NP^g*,PP^g)),CC : 1
@NP^g->(@NP^g->``,(NP^g->JJ,NN*)),, : 1
@NP^g->DT,(NAC^g->(@NAC^g->@NAC^g*,NNP),,) : 1
NP^g->NP^g,(PP^g->IN,(NP^g->@NP^g*,,)) : 3
NP^g->(ADJP^g->(NP^g->QP^g*,NN),JJR),NN : 1
@SINV^g->``,(S^g->NP^g|EX,(VP^g->@VP^g*,PP^g)) : 1
@NP^g->(@NP^g->(@NP^g->@NP^g,NP^g*),CC),PP^g : 1
VP^g->VB,(NP^g->(@NP^g->@NP^g,NN*),NN) : 1
VP^g->VB,(S^g->(NP^g->PRP$,NNS*),VP^g) : 1
VP^g->VBN,(ADJP^g->JJ,(SBAR^g->IN,S^g*)) : 1
PP^g->VBG,(PP^g->TO,(NP^g->NNP*,NNS)) : 1
VP^g->(@VP^g->VB,(NP^g->PRP$,NNS*)),PP^g : 1
@S^g->(NP^g->(NP^g->NNP,NNP*),PP^g),VP^g : 1
@NP^g->@NP^g,(NP^g->(@NP^g->@NP^g,NN*),NN) : 1
@S^g->(@S^g->(@S^g->``,NP^g|PRP*),VP^g),. : 2
PP^g->IN,(NP^g->(@NP^g->DT*,VBN),NNS) : 1
NP^g->@NP^g,(S^g|VP^g->TO,(VP^g->@VP^g,NP^g*)) : 1
PP^g->@PP^g,(NP^g->(@NP^g->JJ*,NN),NNS) : 1
S^g->(@S^g->(NP^g->NP^g*,PP^g),ADVP^g|RB),VP^g|VBZ : 1
@NP^g->(@NP^g->(NP^g->@NP^g,VBZ*),ADJP^g),JJ : 1
NP^g->(NP^g->(@NP^g->DT*,JJ),NX^g),SBAR^g : 1
@NP^g->NP^g,(PP^g->IN,(NP^g->@NP^g,PP^g*)) : 1
VP^g->(@VP^g->(@VP^g->VP^g|VBD,,*),CC),VP^g : 1
SBAR^g->WHNP^g|WDT,(S^g|VP^g->VBD,(S^g|VP^g->TO,VP^g*)) : 1
VP^g->VBZ,(NP^g->@NP^g,(PP^g->IN*,NP^g)) : 1
PP^g->IN,(NP^g->(NP^g->NNP*,NNS),SBAR^g) : 1
NP^g->@NP^g,(NP^g->(NP^g->@NP^g*,NN),PP^g) : 8
SBAR^g->WHNP^g|WDT,(S^g|VP^g->@VP^g,(NP^g->@NP^g*,NNS)) : 1
S^g->(@S^g->ADJP^g|JJ,(PP^g->IN*,NP^g|NN)),SBAR^g : 1
VP^g->(@VP^g->@VP^g,(PP^g->IN*,NP^g|NNP)),PP^g : 1
NP^g->NP^g,(VP^g->VBN,(S^g|VP^g->VBG*,NP^g)) : 1
NP^g->(@NP^g->(NP^g->JJ,NNS*),,),SBAR^g : 1
VP^g->@VP^g,(NP^g->(@NP^g->NP^g,NN*),NN) : 1
NP^g->(@NP^g->(NP^g->@NP^g*,NNS),,),SBAR^g : 2
@S^g->``,(S^g->NP^g|PRP,(VP^g->VBP,SBAR^g|S^g*)) : 1
@VP^g->(@VP^g->(@VP^g->VBP*,NP^g),ADVP^g|RB),, : 1
VP^g->VBP,(PP^g->IN,(NP^g->@NP^g,NN*)) : 1
VP^g->(@VP^g->(@VP^g->VBG,NP^g*),PP^g),PP^g : 1
PP^g->IN,(NP^g->NP^g,(PP^g->IN*,NP^g)) : 29
@NP^g->(@NP^g->(NP^g->@NP^g*,POS),``),PP^g : 1
@S^g->CC,(SBAR^g->IN,(S^g->NP^g|PRP,VP^g*)) : 1
VP^g->VBN,(VP^g->VBN,(PP^g->IN*,NP^g)) : 2
VP^g->(@VP^g->VBZ,(NP^g->DT*,NN)),PP^g : 1
@S^g->(@S^g->(@S^g->ADVP^g|RB,,*),NP^g|QP^g),VP^g : 1
VP^g->VBZ,(SBAR^g->IN,(S^g->NP^g,VP^g*)) : 2
NP^g->(@NP^g->(@NP^g->@NP^g*,CC),RB),NP^g : 1
@S^g->(@S^g->(SBAR^g->IN,S^g*),,),ADVP^g|RB : 1
PP^g->IN,(S^g|VP^g->(@VP^g->VBG*,PRT^g|RP),NP^g) : 1
S^g->NP^g|PRP,(VP^g->@VP^g,(VP^g->@VP^g,PP^g*)) : 1
NP^g->(@NP^g->PRP$,(QP^g->CD*,CD)),NNS : 2
@S^g->(NP^g->(@NP^g->NP^g*,PP^g),PP^g),VP^g : 1
@VP^g->@VP^g,(NP^g->DT,(PRN^g->@PRN^g,-RRB-*)) : 1
VP^g->(@VP^g->(@VP^g->MD*,RB),ADVP^g|RB),VP^g : 1
VP^g->VBZ,(NP^g->(NP^g->@NP^g,NN*),PP^g) : 1
ADJP^g->JJ,(SBAR^g|S^g|VP^g->TO,(VP^g->VB,PRT^g|RP*)) : 1
@S^g->(NP^g->(@NP^g->DT,JJ*),NNS),VP^g : 1
NP^g->@NP^g,(S^g|VP^g->@VP^g,(VP^g->TO*,VP^g)) : 1
NP^g->(@NP^g->(NP^g->@NP^g,NN*),PP^g),PRN^g : 1
S^g->NP^g,(VP^g->MD,(VP^g->VB*,VP^g)) : 1
@VP^g->(@VP^g->(@VP^g->VP^g*,,),''),CC : 1
NP^g->(@NP^g->@NP^g,(PP^g->IN*,NP^g)),, : 2
SBAR^g->WHNP^g|WDT,(S^g|VP^g->MD,(VP^g->VB,VP^g*)) : 2
VP^g->VB,(PP^g->IN,(NP^g->DT*,NNS)) : 1
@S^g->@S^g,(VP^g->VBP,(VP^g->VBN,ADJP^g*)) : 1
NP^g->(@NP^g->@NP^g,(NP^g->@NP^g,NP^g|NNP*)),, : 1
SBAR^g->IN,(S^g->(@S^g->S^g,CC*),S^g) : 1
@S^g->(@S^g->NP^g|NNP,(VP^g->@VP^g,PP^g*)),. : 1
ADVP^g->RB,(PP^g->IN,(NP^g->DT,JJ*)) : 1
S^g|VP^g->VBD,(S^g->NP^g|NNS,(VP^g->TO,VP^g*)) : 2
NP^g->@NP^g,(NP^g->NP^g|NN,(SBAR^g|S^g|VP^g->TO,VP^g*)) : 1
@UCP^g->(VP^g->VBN,(PP^g->IN,NP^g*)),CC : 1
VP^g->VBZ,(PP^g->IN,(SBAR^g->WHNP^g|WP,S^g*)) : 1
S^g->(@S^g->(@S^g->@S^g,NP^g*),VP^g),. : 20
@NP^g->@NP^g,(VP^g->@VP^g,(PP^g->IN*,NP^g)) : 1
PP^g->IN,(NP^g->(NP^g->NP^g*,PP^g),PP^g) : 1
PP^g->IN,(NP^g->(NP^g->NN*,NNS),ADVP^g|RB) : 1
NP^g->(@NP^g->DT,(ADJP^g->RB*,VBN)),NN : 1
@S^g->(@S^g->``,(NP^g->@NP^g*,NN)),, : 1
@S^g->NP^g,(VP^g->VBP,(VP^g->VBN*,S^g|VP^g)) : 1
VP^g->VBG,(NP^g->NP^g,(VP^g->VBG,NP^g*)) : 1
@NP^g->(@NP^g->(@NP^g->DT,NNP*),``),NX^g : 1
VP^g->MD,(VP^g->VB,(NP^g->@NP^g*,PP^g)) : 2
VP^g->(@VP^g->(VP^g->VBG,ADVP^g|RB*),CC),VP^g : 1
S^g|VP^g->@VP^g,(VP^g->@VP^g,(PP^g->TO,NP^g*)) : 1
SBAR^g|S^g->NP^g,(VP^g->VBZ,(VP^g->VBN*,ADVP^g)) : 1
VP^g->VBN,(S^g|VP^g->TO,(VP^g->@VP^g,SBAR^g*)) : 1
NP^g->(@NP^g->(@NP^g->NP^g,JJS*),NNS),NN : 1
@SINV^g->(@SINV^g->``,(S^g->NP^g|EX*,VP^g)),, : 1
S^g|VP^g->TO,(VP^g->VB,(ADJP^g->ADJP^g|JJR*,PP^g)) : 1
ADVP^g->RB,(PP^g->IN,(NP^g->DT*,JJ)) : 1
@S^g->NP^g,(VP^g->VBD,(SBAR^g|S^g->NP^g|PRP*,VP^g)) : 6
FRAG^g->(@FRAG^g->@FRAG^g,(PP^g->IN*,NP^g)),. : 1
S^g|NP^g->(@NP^g->@NP^g,(NP^g->JJ,NNS*)),, : 1
@NP^g->(@NP^g->(NP^g->NP^g*,SBAR^g),,),CC : 1
@NP^g->(@NP^g->(@NP^g->@NP^g*,CC),,),RB : 1
@NP^g->NP^g,(PP^g->IN,(NP^g->NP^g|NN*,PP^g)) : 1
SBAR^g->IN,(S^g->(NP^g->@NP^g*,NNPS),VP^g) : 1
UCP^g->@UCP^g,(VP^g->VBN,(PP^g->TO*,NP^g)) : 1
@VP^g->(@VP^g->@VP^g,(VP^g->VBZ*,NP^g)),, : 1
S^g->NP^g|JJS,(VP^g->(@VP^g->VBP,ADVP^g|RB*),S^g|VP^g) : 1
VP^g->VB,(NP^g->(@NP^g->@NP^g*,NNS),S^g|VP^g) : 1
VP^g->VBZ,(S^g|VP^g->TO,(VP^g->VB,NP^g*)) : 1
VP^g->(@VP^g->(@VP^g->VB,NP^g*),ADVP^g),ADVP^g|RB : 1
S^g|VP^g->VBG,(NP^g->NP^g|NNS,(PP^g->IN,NP^g*)) : 1
@NX^g->(@NX^g->(NX^g->JJ,NN*),,),NX^g : 1
VP^g->VBP,(VP^g->(@VP^g->VBN,PP^g*),PP^g) : 1
VP^g->VBN,(S^g|NP^g->@NP^g,(NP^g->@NP^g,NN*)) : 1
@S^g->(@S^g->(@S^g->CONJP^g,SINV^g*),PRN^g),CC : 1
@VP^g->(@VP^g->(@VP^g->VP^g,CC*),VP^g),CC : 1
@S^g->(NP^g->(@NP^g->DT,JJ*),NN),VP^g : 3
S^g->NP^g|PRP,(VP^g->(@VP^g->@VP^g,CC*),VP^g) : 2
NP^g->(@NP^g->(@NP^g->DT*,NNP),JJ),NNS : 1
VP^g->(@VP^g->(@VP^g->VBP*,S^g|VP^g),,),PP^g : 1
VP^g->VBN,(PP^g->IN,(NP^g->NNP*,NNS)) : 1
@NP^g->(NP^g->(@NP^g->NNP,CC*),NNP),, : 1
VP^g->VB,(NP^g->(@NP^g->@NP^g,NNS*),S^g|VP^g) : 1
S^g|VP^g->(@VP^g->VBD,(NP^g->NNP*,NNP)),NP^g : 1
S^g|VP^g->TO,(VP^g->@VP^g,(VP^g->VB*,NP^g|NN)) : 1
S^g->(@S^g->NP^g|DT,(VP^g->@VP^g,VP^g*)),. : 1
VP^g->VB,(VP^g->@VP^g,(PP^g->IN,S^g*)) : 1
SBAR^g->IN,(S^g->@S^g,(VP^g->VBD,ADVP^g|RB*)) : 1
S^g|VP^g->@VP^g,(VP^g->@VP^g,(PP^g->IN,NP^g*)) : 1
@NP^g->(NP^g->(@NP^g->NNP,NNP*),POS),JJ : 4
VP^g->VB,(ADJP^g->@ADJP^g,(ADJP^g->NN*,JJ)) : 2
S^g->NP^g|PRP,(VP^g->(@VP^g->VBD,NP^g|NN*),PP^g) : 1
@VP^g->(@VP^g->VBD,(NP^g->DT,NN*)),, : 1
VP^g->VB,(VP^g->VBG,(PP^g->IN,NP^g*)) : 1
@VP^g->VBZ,(PP^g->(@PP^g->PP^g,PP^g*),PP^g) : 1
@S^g->(SBAR^g->@SBAR^g,(S^g->NP^g*,VP^g)),, : 1
VP^g->VBD,(NP^g->@NP^g,(PP^g->IN,NP^g*)) : 1
VP^g->@VP^g,(NP^g->(@NP^g->RB*,JJ),NN) : 1
@S^g->(@S^g->(ADVP^g->RB*,PP^g),,),PP^g : 1
@NP^g->(NP^g->(@NP^g->NN,CC*),NN),PP^g : 1
NP^g->(@NP^g->(@NP^g->NP^g,VP^g*),,),SBAR^g : 1
VP^g->VBP,(VP^g->VBG,(NP^g->NP^g|NN*,PP^g)) : 1
@S^g->(@S^g->(@S^g->``,ADVP^g|RB*),NP^g),VP^g : 1
PP^g->IN,(NP^g->(@NP^g->ADJP^g*,JJ),NN) : 1
@S^g->(NP^g->(@NP^g->@NP^g,,*),NP^g),VP^g : 1
VP^g->VBD,(SBAR^g|S^g->NP^g,(VP^g->NN,NP^g*)) : 1
@S^g->NP^g,(VP^g->@VP^g,(NP^g->DT*,NNS)) : 1
NP^g->@NP^g,(PP^g->IN,(NP^g->JJ,NNS*)) : 2
VP^g->MD,(VP^g->VB,(VP^g->@VP^g*,SBAR^g|SINV^g)) : 1
S^g->(NP^g->(NP^g->DT*,NNS),SBAR^g),VP^g : 1
S^g|VP^g->TO,(VP^g->VB,(VP^g->VBG,PP^g*)) : 1
S^g->(NP^g->(@NP^g->NNS,CC*),NNS),VP^g : 1
@NP^g->(@NP^g->(@NP^g->@NP^g,NN*),NNS),CC : 1
@S^g->(S^g|VP^g->VBG,(S^g->NP^g*,ADJP^g|JJ)),, : 1
S^g->(NP^g->NP^g,(VP^g->VBG,NP^g*)),VP^g : 1
PP^g->IN,(NP^g->(@NP^g->DT*,NNP),NN) : 1
NP^g->(NP^g->(@NP^g->NP^g*,JJ),NNS),PP^g : 1
NP^g->(NP^g->(@NP^g->DT*,NNP),NNP),VP^g : 1
S^g->NP^g|JJS,(VP^g->(@VP^g->VBP*,ADVP^g|RB),S^g|VP^g) : 1
VP^g->(@VP^g->(@VP^g->MD,RB*),ADVP^g|RB),VP^g : 1
S^g|VP^g->VBG,(NP^g->(NP^g->@NP^g*,NN),PP^g) : 1
@VP^g->(@VP^g->@VP^g,(NP^g->@NP^g,NN*)),, : 1
VP^g->VBN,(PP^g->(@PP^g->IN*,``),NP^g) : 1
@S^g->NP^g,(VP^g->(@VP^g->@VP^g,RB*),VP^g) : 1
VP^g->@VP^g,(PP^g->TO,(NP^g->NP^g,PP^g*)) : 2
NP^g->NP^g,(SBAR^g->WHNP^g|WDT,(S^g|VP^g->@VP^g,PP^g*)) : 6
@S^g->NP^g|PRP,(VP^g->VBZ,(NP^g->@NP^g*,SBAR^g)) : 1
S^g->(NP^g->NP^g,(PP^g->IN*,NP^g|NN)),VP^g : 2
VP^g->(@VP^g->(@VP^g->VBZ,CC*),VBZ),NP^g : 1
S^g->(@S^g->NP^g|DT,(VP^g->VBZ,SBAR^g*)),. : 3
NP^g->@NP^g,(SBAR^g->WHNP^g|WP,(S^g|VP^g->VBD,NP^g|NNP*)) : 1
NP^g->@NP^g,(SBAR^g->WHNP^g|WP,(S^g|VP^g->@VP^g*,SBAR^g)) : 1
S^g|VP^g->@VP^g,(NP^g->(@NP^g->DT*,NN),S^g|VP^g) : 1

outside_foot_parent : 564
PRT^g|RP,@VP^g : 23
S^g|VP^g,@VP^g : 3
ADJP^g|RB,@VP^g : 1
NNS,NX^g : 5
@S^g,S^g : 261
VP^g|VBP,@S^g : 2
JJR,NP^g : 2
PRP$,NP^g : 27
JJ,ADJP^g : 61
ADJP^g,NP^g : 16
NN,ADJP^g : 5
S^g|VP^g,SBAR^g : 56
``,@S^g : 21
NN,NP^g : 533
PRP$,@NP^g : 32
RB,NX^g : 1
@PP^g,@PP^g : 5
RB,CONJP^g : 5
RB,@NP^g : 10
SBAR^g,ADJP^g : 1
NP^g|DT,@VP^g : 1
TO,@VP^g : 2
CC,@FRAG^g : 1
NP^g|EX,@S^g : 3
NP^g|PRP,PP^g : 8
TO,S^g|VP^g : 71
ADVP^g|RB,S^g|VP^g : 1
VBP,S^g|VP^g : 6
PRN^g,NP^g : 5
NP^g|CD,@S^g : 2
NP^g|QP^g,@S^g : 1
NP^g|RB,PP^g : 1
IN,@PP^g : 22
RB,PP^g : 2
NN,S^g|NP^g : 1
VP^g|VBZ,@SINV^g : 9
,,@NAC^g : 1
FRAG^g,SBAR^g : 1
``,S^g : 1
@SBARQ^g,SBARQ^g : 1
ADJP^g,@ADJP^g : 4
TO,@QP^g : 2
VB,@VP^g : 65
S^g|PP^g,@S^g : 1
.,SQ^g : 4
PRP$,ADJP^g : 1
SBAR^g,S^g : 2
@PRN^g,PRN^g : 16
NP^g|PRP,@S^g : 56
S^g|VP^g,VP^g : 56
S^g,SBAR^g : 80
NN,PP^g : 1
NP^g|NNS,S^g|VP^g : 2
JJ,@UCP^g : 3
NP^g|PRP,S^g : 37
@S^g,SBAR^g|S^g : 1
S^g,@SINV^g : 11
SBAR^g,NP^g : 60
IN,PP^g : 511
@SINV^g,SINV^g : 16
NX^g,@NX^g : 5
NN,@UCP^g : 1
NP^g|NNS,PP^g : 16
WHNP^g|IN,@SBAR^g : 1
VP^g|VBZ,S^g : 3
NP^g|NNP,@VP^g : 3
JJR,NP^g|QP^g : 3
ADVP^g|JJR,@SINV^g : 1
ADJP^g|RB,PP^g : 2
ADJP^g,@VP^g : 3
S^g|ADJP^g,@S^g : 2
JJ,@PP^g : 6
UCP^g,@NP^g : 1
VP^g,@SINV^g : 1
PP^g,@FRAG^g : 2
@SBAR^g,@SBAR^g : 3
@QP^g,@QP^g : 9
VBN,@VP^g : 34
NP^g,@SINV^g : 15
JJ,FRAG^g|NP^g : 1
PRN^g,ADJP^g : 2
VBG,VP^g : 25
NP^g|NN,@S^g : 5
VP^g|VBD,@S^g : 11
PRT^g|RP,VP^g : 2
NP^g,FRAG^g : 1
NP^g,@SQ^g : 1
NP^g|NNP,S^g|VP^g : 1
VP^g,VP^g : 206
ADVP^g|RBR,@PP^g : 1
MD,@SQ^g : 1
JJ,NP^g : 89
NN,@NP^g : 179
ADVP^g|RB,@SBAR^g : 2
PP^g,@PP^g : 3
:,@S^g : 8
POS,NP^g : 60
VP^g,S^g|VP^g : 87
VP^g,@NP^g : 8
ADJP^g|JJ,ADJP^g : 1
@ADVP^g,ADVP^g : 6
DT,@NP^g : 291
SQ^g,S^g : 1
CC,@ADVP^g : 3
S^g,@UCP^g : 1
NP^g|CD,NP^g : 6
NP^g|QP^g,NP^g : 2
CD,ADJP^g|QP^g : 1
VP^g|VB,S^g|VP^g : 3
CONJP^g,@VP^g : 1
SBAR^g|S^g,NP^g : 4
ADJP^g|JJ,S^g : 1
S^g|NP^g,VP^g : 2
NP^g,VP^g : 159
ADVP^g|RB,@S^g : 36
ADJP^g|JJ,PP^g : 1
IN,WHPP^g : 1
@NX^g,NX^g : 6
SBAR^g|S^g,VP^g : 23
,,@FRAG^g : 1
NP^g|PRP,NP^g : 1
VBZ,SQ^g|VP^g : 1
CD,ADJP^g : 1
NP^g|EX,S^g : 3
'',@PRN^g : 1
NP^g,SBAR^g|S^g : 12
,,@NP^g : 153
VP^g|VBD,S^g : 3
IN,S^g|PP^g : 1
PP^g|IN,VP^g : 1
RB,@ADJP^g : 5
VBZ,@SQ^g : 1
@SINV^g,@SINV^g : 56
:,PRN^g : 4
,,PRN^g : 7
ADVP^g|RB,@NP^g : 3
VBN,NP^g : 1
@ADJP^g,@ADJP^g : 12
ADVP^g,S^g|VP^g : 1
S^g|VP^g,S^g : 1
ADJP^g,UCP^g : 1
VBP,VP^g : 54
WHNP^g|WDT,WHPP^g : 2
VP^g|VBN,VP^g : 8
NX^g|NN,@NP^g : 1
IN,@QP^g : 5
WHADVP^g,SBAR^g : 1
JJR,ADJP^g : 6
NP^g|NNS,VP^g : 3
VP^g,@SQ^g : 1
RB,SBAR^g : 1
PP^g,NP^g : 245
ADVP^g,@VP^g : 6
ADJP^g,ADJP^g : 6
VP^g,SBAR^g|SINV^g : 1
``,@NP^g : 25
CC,@PRN^g : 1
JJ,@VP^g : 1
VBN,S^g|VP^g : 4
IN,QP^g : 3
RB,@SBAR^g : 2
NP^g,@S^g : 148
NNP,@NP^g : 185
.,@S^g : 22
'',PP^g : 2
-LRB-,@S^g : 3
PRN^g,@NP^g : 1
RB,@S^g : 2
PP^g,@PRN^g : 2
SBAR^g|S^g|VP^g,NP^g : 8
NP^g,UCP^g : 1
IN,@ADVP^g : 1
ADVP^g,@ADJP^g : 1
IN,ADVP^g : 5
'',@NP^g : 13
.,SBARQ^g : 1
,,@PP^g : 1
IN,NP^g|QP^g : 1
@S^g,@S^g : 272
NP^g|NN,NP^g : 41
ADVP^g|RB,NP^g : 4
PP^g,@VP^g : 57
NX^g,@NP^g : 3
@QP^g,NP^g|QP^g : 7
@UCP^g,@UCP^g : 4
.,SINV^g : 13
:,@VP^g : 1
S^g|ADJP^g|JJ,VP^g : 1
ADVP^g,ADJP^g : 1
,,@ADVP^g : 1
VP^g,SBAR^g|S^g : 28
SBAR^g,@PRN^g : 4
FRAG^g|ADJP^g,@SINV^g : 1
CD,NP^g|QP^g : 10
CC,@VP^g : 37
FRAG^g|NP^g,@S^g : 1
CC,@UCP^g : 7
SBAR^g|SINV^g,VP^g : 1
ADJP^g,@UCP^g : 1
JJR,@NP^g : 4
NP^g,@PP^g : 1
``,@ADJP^g : 3
PP^g|TO,@VP^g : 1
ADJP^g,S^g : 3
ADJP^g|JJ,VP^g : 8
ADVP^g,VP^g : 6
ADJP^g|QP^g,@PRN^g : 1
CC,@QP^g : 1
.,UCP^g : 1
SBAR^g,ADVP^g : 2
NP^g,@UCP^g : 2
NX^g|NNS,NX^g : 1
ADJP^g,S^g|ADJP^g : 1
NP^g|NNP,PP^g : 25
NX^g,NP^g : 7
VP^g|VBN,@VP^g : 1
CC,@NX^g : 3
NNP,NX^g : 2
VP^g,@VP^g : 32
NP^g|JJ,NP^g : 4
NN,@SBAR^g : 1
VP^g|VBZ,@S^g : 3
PP^g,@SINV^g : 1
.,FRAG^g : 4
S^g|VP^g|VBZ,SBAR^g : 1
NP^g|JJS,@NP^g : 1
DT,QP^g : 2
RB,ADJP^g : 17
@SBAR^g,SBAR^g : 10
NNS,NP^g : 316
NP^g|NN,PP^g : 38
TO,WHPP^g : 1
NP^g|NNS,@NP^g : 12
VBZ,@VP^g : 41
VBZ,S^g|VP^g : 9
ADVP^g,UCP^g : 1
VP^g|VBN,@SINV^g : 1
DT,NX^g : 1
NP^g|FW,S^g : 1
NN,@PRN^g : 1
ADVP^g|RB,@SQ^g : 1
CD,@QP^g : 11
NP^g|JJS,@S^g : 1
JJ,UCP^g : 1
@PP^g,PP^g : 24
RB,@PP^g : 1
PRN^g,@VP^g : 3
RB,NP^g : 1
NNPS,NP^g : 12
DT,@ADJP^g : 1
CONJP^g,@S^g : 2
WHNP^g|WDT,SBAR^g : 42
SINV^g,@S^g : 2
NP^g|NNPS,PP^g : 1
NX^g,NX^g : 2
S^g|NP^g,@VP^g : 2
NP^g|DT,PP^g : 1
:,@UCP^g : 2
NP^g|NNS,SBAR^g|S^g : 1
WHADVP^g|WRB,SBAR^g : 8
,,FRAG^g : 1
SBAR^g,SBAR^g : 2
NP^g|PRP,@SINV^g : 2
FW,NP^g : 1
VP^g,@S^g : 189
,,@UCP^g : 1
NN,@QP^g : 1
@NP^g,NP^g : 656
SBAR^g,PP^g : 2
,,S^g|NP^g : 1
VP^g|VBZ,@VP^g : 1
,,@SINV^g : 14
NN,@NX^g : 3
NP^g|CD,@NP^g : 1
.,S^g : 203
VBG,@VP^g : 25
VP^g,SBAR^g|S^g|VP^g : 14
NP^g|NN,VP^g : 4
ADVP^g|RB,@UCP^g : 1
VBD,@SQ^g : 2
NNP,@NAC^g : 3
NP^g|PRP,S^g|VP^g : 1
S^g,S^g : 5
'',@ADJP^g : 2
S^g,@PRN^g : 5
TO,@NP^g : 1
VP^g,@UCP^g : 1
NNP,@NX^g : 2
S^g|VP^g,S^g|ADJP^g : 1
RBS,@ADVP^g : 1
S^g|VP^g,ADJP^g : 7
NP^g|NN,@VP^g : 9
RB,S^g : 1
S^g|VP^g,NP^g : 13
'',S^g : 20
NP^g|PRP,@SQ^g : 1
NP^g,@VP^g : 78
NP^g,S^g|PP^g : 1
@FRAG^g,FRAG^g : 3
.,@SINV^g : 1
@QP^g,QP^g : 4
VP^g,UCP^g : 1
